SEQ,IDW,MIDW,W,ID,HV,HD,IC_BAR,MAX_IC,I_ORB,MAX_ORB,M1,M2,IC0,IC1,IC2,IC3,IC4,IC5,IC6,SIC0,SIC1,SIC2,SIC3,SIC4,SIC5,SIC6,CIC0,CIC1,CIC2,CIC3,CIC4,CIC5,CIC6,S0,S1,S2,S3,S4,S5,S6,SC3,SC4,SC5,SC6,SCY5,SCY6,SPC4,SPC5,SPC6,B0,B1,B2,B3,B4,B5,B6,BC3,BC4,BC5,BC6,BCY5,BCY6,BPC4,BPC5,BPC6,V0,V1,V2,V3,V4,V5,V6,VC3,VC4,VC5,VC6,VCY5,VCY6,VPC4,VPC5,VPC6,K0,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,J,JB,JX,JY,EDH,ED,VOL,HOMO,HOMO1,LUMO,LUMO1,HF,IP,DM,AZV1,AZV2,AZV3,AZV4,AZV5,ASV1,ASV2,ASV3,ASV4,ASV5,DSV1,DSV2,DSV3,DSV4,DSV5,AZS1,AZS2,ASZ1,ASZ2,ASZ3,ASZ4,ASZ5,DN2S1,DN2S2,DN2S3,DN2S4,DN2S5,DN211,DN212,DN213,DN214,DN215,AS11,AS12,AS13,AS14,AS15,DS11,DS12,DS13,DS14,DS15,ASN1,ASN2,ASN3,ASN4,ASN5,DSN1,DSN2,DSN3,DSN4,DSN5,DN2N1,DN2N2,DN2N3,DN2N4,DN2N5,ANS1,ANS2,ANV1,ANV2,ANV3,ANV4,ANV5,AZN1,AZN2,AZN3,AZN4,AZN5,ANZ1,ANZ2,ANZ3,ANZ4,ANZ5,AN11,AN12,AN13,AN14,AN15,DSZ1,DSZ2,DSZ3,DSZ4,DSZ5,ANN1,ANN2,ANN3,ANN4,ANN5,DN2Z1,DN2Z2,DN2Z3,DN2Z4,DN2Z5,SMILES,ACT
1.0000,7.6946,2.0169,5.8230,1.5763,1.2975,1.5334,1.1550,1.6094,1.5907,1.6094,4.4427,4.6250,0.8717,1.2983,1.5310,1.6722,1.7018,1.7018,1.7018,0.2624,0.4536,0.5766,0.6580,0.6760,0.6760,0.6760,1.4476,1.0919,0.7031,0.2776,0.1484,0.1484,0.1484,2.4348,2.1086,2.0694,1.9113,1.8088,1.6588,1.4195,0.7807,0.0000,0.1756,0.0000,0.0760,0.3060,1.2476,1.6487,2.0030,2.3195,1.8614,1.7044,1.4334,1.2436,1.0094,0.7566,0.5200,0.0000,0.0770,0.0000,0.0431,0.1398,0.7916,1.0242,1.2000,2.3715,1.9027,1.7598,1.4727,1.2832,1.0505,0.8100,0.5721,0.0000,0.0770,0.0000,0.0431,0.1398,0.8351,1.0712,1.2562,2.7726,2.8904,3.2581,3.5553,3.8918,4.1431,4.2341,4.3175,4.3567,4.1109,3.8918,1.0014,1.1746,1.1697,1.1716,7.1757,6.0103,5.1631,-8.2378,-9.5133,-0.4029,0.3320,57.4785,8.2378,3.2440,1.5910,0.7946,2.1262,4.2537,1.4399,0.1686,0.0050,0.9178,7.6870,0.1192,0.1040,0.0013,0.7892,8.0557,0.0802,9.6007,16.6683,0.3433,0.0193,1.1942,6.9525,0.2680,5.8178,8.9259,4.2749,0.5630,5.8156,0.0541,0.0002,0.6489,8.4229,0.0541,0.0548,0.0003,0.6242,8.7860,0.0441,0.0514,0.0003,0.6013,8.9352,0.0389,0.6123,0.0745,1.4717,6.0801,0.5168,0.5829,0.0741,1.4334,6.2290,0.4670,0.6068,0.0455,1.5124,5.7179,0.6065,7.0308,11.3778,1.0800,0.2453,1.8440,4.8487,1.0388,3.2804,3.8481,3.0146,2.4281,3.2284,2.0935,2.0867,2.3693,3.9242,1.9118,0.6261,0.0494,1.5287,5.6990,0.6256,0.3167,0.0177,1.1502,7.1366,0.2335,2.6430,2.5168,2.7074,3.0368,2.6420,0.3619,0.0280,1.2201,6.6908,0.2997,Nc1ccc2-,2.62
2.0000,6.4277,1.8445,4.7622,1.4372,1.1814,1.3940,1.0723,1.3863,1.4637,1.0986,3.8501,3.9512,0.8908,1.3116,1.5300,1.5777,1.5777,1.5777,1.5777,0.2829,0.4806,0.6010,0.6286,0.6286,0.6286,0.6286,1.3750,0.9858,0.5738,0.4370,0.4370,0.4370,0.4370,2.1471,1.7468,1.6222,1.4192,1.2045,0.8730,0.6043,0.5253,0.0000,0.1115,0.0000,0.0000,0.0658,0.8792,1.0811,1.1848,2.0718,1.5684,1.3305,1.0574,0.8074,0.4706,0.2964,0.3457,0.0000,0.0573,0.0000,0.0000,0.0237,0.5647,0.6678,0.6678,1.9766,1.4205,1.1771,0.8692,0.6173,0.3667,0.1989,0.2693,0.0000,0.0198,0.0000,0.0000,0.0237,0.3812,0.4253,0.4088,2.3979,2.3979,2.6391,2.7726,2.8332,2.8332,2.4849,1.3863,0.6931,0.0000,0.0000,1.2107,1.4036,1.3830,1.4100,6.6833,4.8958,4.8426,-8.2049,-9.1943,0.5767,0.6191,-24.0356,8.2049,1.4500,1.2048,0.5146,1.7381,3.7436,1.1168,0.1630,0.0040,0.8220,6.4793,0.1370,0.1525,0.0038,0.7898,6.6549,0.1146,10.0183,17.7586,0.4684,0.0493,1.2053,5.4250,0.4075,6.4523,10.6014,4.3888,0.1448,6.4510,0.0782,0.0007,0.6426,7.1016,0.0781,0.0898,0.0012,0.6578,7.2377,0.0772,0.0845,0.0012,0.6335,7.4043,0.0674,0.6624,0.1156,1.3718,4.9416,0.5891,0.6324,0.1159,1.3339,5.1071,0.5293,0.5950,0.0642,1.3483,4.8064,0.5945,9.6791,17.0622,0.9643,0.2700,1.5958,4.0852,0.9031,2.5842,2.7967,2.4877,2.2695,2.5723,1.8382,1.3523,2.1099,3.0466,1.8279,0.6085,0.0683,1.3589,4.8260,0.6070,0.4466,0.0503,1.1688,5.6078,0.3602,2.2383,2.0874,2.3170,2.5931,2.2353,0.4134,0.0263,1.1811,5.2833,0.4108,COc1ccc(,-2.05
3.0000,6.6707,1.8913,4.9488,1.4832,1.1802,1.4315,0.9143,1.3863,1.4949,1.0986,4.0431,4.1897,0.8663,1.3124,1.5112,1.6376,1.6376,1.6376,1.6376,0.2807,0.4941,0.6049,0.6806,0.6806,0.6806,0.6806,1.3533,0.9294,0.5400,0.0998,0.0998,0.0998,0.0998,2.1613,1.8527,1.7258,1.5959,1.4493,1.2565,0.8633,0.4305,0.0000,0.1519,0.0000,0.0000,0.1406,0.8920,1.2072,1.4752,2.0128,1.5539,1.2988,1.0554,0.8224,0.5883,0.3133,0.2422,0.0000,0.0564,0.0000,0.0000,0.0450,0.4694,0.5878,0.6658,1.9443,1.4974,1.2288,0.9854,0.7547,0.5377,0.2608,0.1989,0.0000,0.0421,0.0000,0.0000,0.0450,0.3927,0.4830,0.5388,2.4849,2.5649,2.8332,3.0910,3.2958,3.4340,3.1781,3.0445,2.8904,2.7726,1.3863,1.0963,1.3643,1.3525,1.3676,6.4167,5.0668,4.8040,-8.0791,-9.5727,-0.4233,0.0905,64.6977,8.0791,3.6040,1.3450,0.5907,1.8728,3.8466,1.2985,0.1698,0.0044,0.8629,6.8063,0.1470,0.1615,0.0045,0.8372,6.9525,0.1314,10.1880,17.9837,0.4591,0.0488,1.2201,5.8190,0.3831,6.3773,10.3548,4.3989,0.2014,6.3766,0.0725,0.0005,0.6467,7.4649,0.0724,0.0882,0.0012,0.6712,7.6238,0.0729,0.0851,0.0013,0.6495,7.8048,0.0640,0.7004,0.1324,1.4285,5.2308,0.6056,0.6816,0.1451,1.3946,5.4109,0.5463,0.6026,0.0604,1.3902,5.0727,0.6024,9.7685,17.1418,1.0294,0.2747,1.6870,4.2865,1.0016,2.7427,3.0106,2.6125,2.3291,2.7400,1.8214,1.2451,2.1444,3.3077,1.8161,0.6078,0.0618,1.3943,5.0836,0.6072,0.4474,0.0562,1.1870,6.0158,0.3384,2.3224,2.1653,2.4030,2.7458,2.3212,0.3814,0.0195,1.1813,5.6603,0.3806,Nc1cccc2,-2.00
4.0000,6.5101,1.8378,4.8520,1.4460,1.2545,1.3845,1.0889,1.3863,1.3666,1.0986,3.8067,3.8712,0.8908,1.2692,1.4825,1.5248,1.5248,1.5248,1.5248,0.2829,0.4587,0.5738,0.5977,0.5977,0.5977,0.5977,1.3750,1.0420,0.6871,0.5867,0.5867,0.5867,0.5867,2.1279,1.7623,1.5923,1.3434,1.1072,0.9528,0.5516,0.4008,0.0000,0.0000,0.0000,0.0000,0.0797,0.6103,0.6916,0.8316,2.0443,1.5856,1.3180,0.9780,0.7144,0.5300,0.2700,0.2508,0.0000,0.0000,0.0000,0.0000,0.0276,0.3450,0.3639,0.4041,1.9462,1.4609,1.0993,0.7844,0.5487,0.3681,0.1467,0.1519,0.0000,0.0000,0.0000,0.0000,0.0276,0.2135,0.2255,0.2263,2.3979,2.3979,2.5649,2.6391,2.7081,2.8332,2.3979,1.9459,1.0986,0.0000,0.0000,1.1417,1.3067,1.2851,1.3135,6.7393,4.9821,4.8552,-8.1869,-9.7612,0.5251,0.6546,-22.0666,8.1869,1.7770,1.2158,0.5090,1.7503,3.7443,1.1464,0.1441,0.0029,0.7918,6.6042,0.1273,0.1321,0.0026,0.7592,6.7628,0.1088,10.1799,18.0707,0.4231,0.0371,1.1651,5.5416,0.3726,6.4375,10.5731,4.3813,0.1471,6.4354,0.0769,0.0006,0.6386,7.1211,0.0768,0.0804,0.0010,0.6312,7.3565,0.0695,0.0744,0.0009,0.6047,7.5438,0.0602,0.6081,0.0921,1.3303,5.0597,0.5424,0.5726,0.0883,1.2883,5.2460,0.4825,0.5875,0.0622,1.3419,4.8257,0.5867,9.8389,17.3797,0.9696,0.2626,1.6056,4.0941,0.9280,2.5786,2.7748,2.4863,2.2527,2.5721,1.8372,1.3509,2.1094,3.0391,1.8269,0.6078,0.0679,1.3585,4.8165,0.6067,0.3961,0.0352,1.1259,5.7337,0.3286,2.2368,2.0827,2.3165,2.5842,2.2347,0.4077,0.0255,1.1752,5.3036,0.4050,CCOc1ccc,-2.30
5.0000,6.6707,1.8913,4.9488,1.4832,1.1802,1.4315,0.9143,1.7918,1.4949,1.3863,4.0431,4.1897,0.8038,1.1496,1.3255,1.5142,1.6138,1.6529,1.6529,0.2515,0.4048,0.4941,0.5994,0.6580,0.6816,0.6816,1.4078,1.1522,0.9392,0.5738,0.2624,0.0953,0.0953,2.1613,1.8527,1.7258,1.5959,1.4493,1.2565,0.8633,0.4305,0.0000,0.1519,0.0000,0.0000,0.1406,0.8920,1.2072,1.4752,2.0128,1.5539,1.2988,1.0554,0.8224,0.5883,0.3133,0.2422,0.0000,0.0564,0.0000,0.0000,0.0450,0.4694,0.5878,0.6658,1.9628,1.5282,1.2720,1.0378,0.8109,0.5906,0.3001,0.2143,0.0000,0.0469,0.0000,0.0000,0.0507,0.4266,0.5347,0.6049,2.4849,2.5649,2.8332,3.0910,3.2958,3.4340,3.1781,3.0445,2.8904,2.7726,1.3863,1.0963,1.3643,1.3607,1.3653,6.5363,5.0735,4.8339,-8.1079,-9.3419,-0.1782,0.2254,40.3303,8.1079,1.5470,1.3515,0.5954,1.8773,3.8358,1.3073,0.1698,0.0044,0.8629,6.8063,0.1470,0.1615,0.0045,0.8372,6.9525,0.1314,10.3516,18.3106,0.4558,0.0485,1.2159,5.8328,0.3786,6.3773,10.3548,4.3989,0.2014,6.3766,0.0725,0.0005,0.6467,7.4649,0.0724,0.0882,0.0012,0.6712,7.6238,0.0729,0.0851,0.0013,0.6495,7.8048,0.0640,0.7004,0.1324,1.4285,5.2308,0.6056,0.6816,0.1451,1.3946,5.4109,0.5463,0.6026,0.0604,1.3902,5.0727,0.6024,9.9163,17.4374,1.0294,0.2747,1.6870,4.2865,1.0016,2.7526,3.0304,2.6174,2.3214,2.7499,1.8088,1.2213,2.1381,3.3182,1.8049,0.6078,0.0618,1.3943,5.0836,0.6072,0.4448,0.0562,1.1825,6.0346,0.3335,2.3224,2.1653,2.4030,2.7458,2.3212,0.3768,0.0189,1.1764,5.6723,0.3763,Nc1cccc2,-0.60
6.0000,7.4272,1.9933,5.5835,1.5596,1.2326,1.5160,0.9466,1.7918,1.5701,1.3863,4.3694,4.5643,0.7871,1.1991,1.4439,1.5980,1.6722,1.7018,1.7018,0.2295,0.4048,0.5289,0.6146,0.6580,0.6760,0.6760,1.4920,1.2021,0.8780,0.5306,0.2776,0.1484,0.1484,2.3556,2.0618,1.9727,1.8724,1.7956,1.6261,1.3110,0.5966,0.0000,0.2215,0.0000,0.0760,0.3097,1.1660,1.6400,2.0276,2.2245,1.7964,1.5980,1.3930,1.2194,0.9670,0.6627,0.3941,0.0000,0.1035,0.0000,0.0431,0.1398,0.7476,1.0285,1.2299,2.1777,1.7608,1.5507,1.3483,1.1691,0.9251,0.6190,0.3521,0.0000,0.0898,0.0000,0.0431,0.1398,0.6881,0.9439,1.1220,2.7081,2.8332,3.1781,3.5264,3.8712,4.0775,4.0775,4.1271,4.1897,3.8501,3.6376,1.0296,1.2099,1.2072,1.2105,7.1120,5.7335,5.0582,-8.2628,-9.0229,-0.1451,0.5428,54.6686,8.2628,1.3930,1.5634,0.7454,2.1012,4.0841,1.5189,0.1322,0.0021,0.8509,7.6483,0.1116,0.1252,0.0021,0.8259,7.7875,0.1001,10.6822,18.7323,0.3557,0.0236,1.1860,6.7295,0.2822,6.1684,9.6959,4.4146,0.3831,6.1673,0.0582,0.0003,0.6501,8.2206,0.0582,0.0662,0.0006,0.6513,8.5212,0.0523,0.0637,0.0006,0.6301,8.6900,0.0461,0.6718,0.1046,1.4895,5.8848,0.5610,0.6527,0.1142,1.4550,6.0531,0.5067,0.6092,0.0491,1.4876,5.5850,0.6089,10.0603,17.4830,1.0806,0.2541,1.8198,4.7333,1.0541,3.2011,3.7116,2.9521,2.3740,3.1977,1.8299,1.0884,2.2568,3.8007,1.8273,0.6211,0.0517,1.4976,5.5772,0.6207,0.3460,0.0272,1.1535,6.9141,0.2488,2.5691,2.4333,2.6382,2.9862,2.5682,0.3101,0.0094,1.1804,6.4273,0.3098,Nc1cccc2,1.13
7.0000,7.7091,2.0166,5.8377,1.5808,1.3054,1.5323,1.1550,2.1972,1.5907,1.9459,4.4188,4.5850,0.7825,1.1382,1.3564,1.5837,1.6413,1.6707,1.6851,0.2247,0.3723,0.4781,0.6010,0.6339,0.6513,0.6601,1.5072,1.2751,1.0364,0.6027,0.4305,0.3257,0.2685,2.4205,2.1194,2.0430,1.8991,1.7652,1.6724,1.3501,0.6704,0.0000,0.1544,0.0000,0.0000,0.1881,1.1468,1.4754,1.8693,2.2599,1.7971,1.5717,1.2856,1.0399,0.8519,0.5510,0.3805,0.0000,0.0478,0.0000,0.0000,0.0611,0.5999,0.7203,0.8796,2.2272,1.7933,1.5699,1.3161,1.0849,0.8985,0.5844,0.3577,0.0000,0.0545,0.0000,0.0000,0.0705,0.6103,0.7509,0.9219,2.7726,2.8904,3.2189,3.4965,3.7842,4.0943,4.0943,4.1744,4.2767,4.2767,3.8501,0.9832,1.2456,1.2436,1.2462,7.2808,5.9715,5.1102,-7.4868,-8.6027,-0.8737,0.3022,72.5585,7.4868,2.3590,1.6124,0.7820,2.1573,4.1509,1.5625,0.1099,0.0013,0.8154,7.9523,0.0926,0.1020,0.0012,0.7879,8.0793,0.0827,10.8522,19.0054,0.2978,0.0143,1.1412,7.0201,0.2384,6.1029,9.4966,4.4161,0.4503,6.1012,0.0540,0.0002,0.6483,8.4280,0.0540,0.0542,0.0003,0.6210,8.8121,0.0435,0.0508,0.0003,0.5979,8.9689,0.0383,0.6071,0.0737,1.4664,6.1062,0.5106,0.5780,0.0735,1.4278,6.2626,0.4606,0.6056,0.0452,1.5114,5.7230,0.6053,10.1549,17.6033,1.0824,0.2409,1.8497,4.8571,1.0554,3.3373,3.9229,3.0518,2.3666,3.3328,1.8377,1.0549,2.2920,3.9168,1.8354,0.6259,0.0493,1.5286,5.6952,0.6255,0.2826,0.0149,1.1055,7.1916,0.2101,2.6425,2.5152,2.7072,3.0332,2.6417,0.2900,0.0075,1.1773,6.6347,0.2897,Nc1ccc2c,2.62
8.0000,7.9926,2.0704,6.0591,1.6174,1.2436,1.5810,0.9423,2.0794,1.6267,1.7918,4.6151,4.8442,0.7715,1.1455,1.3770,1.5767,1.6639,1.7087,1.7341,0.2167,0.3688,0.4800,0.5872,0.6366,0.6632,0.6780,1.5358,1.2983,1.0456,0.6775,0.4233,0.2515,0.1337,2.5181,2.2364,2.1606,2.0981,2.0582,1.9465,1.6910,0.7095,0.0000,0.3155,0.0000,0.0620,0.3464,1.3990,1.9574,2.4611,2.3538,1.9049,1.6732,1.4581,1.2759,1.0491,0.7552,0.4008,0.0000,0.1124,0.0000,0.0227,0.1178,0.7784,1.0719,1.3300,2.3296,1.9126,1.7009,1.5175,1.3530,1.1382,0.8338,0.4108,0.0000,0.1266,0.0000,0.0305,0.1467,0.8303,1.1525,1.4325,2.8904,3.0445,3.4340,3.8501,4.2627,4.5747,4.7095,4.8752,5.0173,4.9767,4.9053,0.9910,1.2550,1.2530,1.2556,7.4203,6.2065,5.1996,-7.9513,-8.8777,-0.9533,0.2613,100.9207,7.9513,1.4890,1.7392,0.8710,2.2859,4.2818,1.6998,0.1086,0.0012,0.8439,8.3048,0.0900,0.1027,0.0012,0.8202,8.4255,0.0813,11.0721,19.3171,0.2916,0.0133,1.1671,7.4165,0.2243,6.0131,9.1914,4.4335,0.6032,6.0115,0.0489,0.0001,0.6540,8.8162,0.0489,0.0529,0.0003,0.6389,9.2085,0.0407,0.0508,0.0003,0.6188,9.3575,0.0361,0.6542,0.0871,1.5449,6.3769,0.5343,0.6348,0.0940,1.5112,6.5256,0.4859,0.6165,0.0419,1.5700,5.9853,0.6164,11.0922,17.7446,1.1156,0.2333,1.9250,5.0985,1.0913,3.5698,4.2693,3.2269,2.4048,3.5667,1.8456,0.9860,2.3528,4.1873,1.8437,0.6309,0.0445,1.5822,5.9694,0.6306,0.2828,0.0150,1.1363,7.5779,0.1994,2.7694,2.6504,2.8296,3.1762,2.7688,0.2652,0.0054,1.1853,7.0227,0.2650,Nc1cccc2,2.88
9.0000,6.6707,1.8913,4.9488,1.4832,1.1802,1.4315,0.9143,1.6094,1.4949,1.3863,4.0431,4.1897,0.8663,1.3124,1.4875,1.6168,1.6376,1.6376,1.6376,0.2807,0.4941,0.5917,0.6678,0.6806,0.6806,0.6806,1.3533,0.9294,0.5999,0.1914,0.0998,0.0998,0.0998,2.1613,1.8527,1.7258,1.5959,1.4493,1.2565,0.8633,0.4305,0.0000,0.1519,0.0000,0.0000,0.1406,0.8920,1.2072,1.4752,2.0128,1.5539,1.2988,1.0554,0.8224,0.5883,0.3133,0.2422,0.0000,0.0564,0.0000,0.0000,0.0450,0.4694,0.5878,0.6658,1.9443,1.4974,1.2302,0.9798,0.7552,0.5365,0.2662,0.2013,0.0000,0.0363,0.0000,0.0000,0.0450,0.3812,0.4769,0.5312,2.4849,2.5649,2.8332,3.0910,3.2958,3.4340,3.1781,3.0445,2.8904,2.7726,1.3863,1.0963,1.3643,1.3522,1.3679,6.4273,5.0658,4.8114,-8.1813,-9.4925,-0.2990,-0.0096,49.5276,8.1813,1.1430,1.3449,0.5898,1.8729,3.8464,1.2990,0.1698,0.0044,0.8629,6.8063,0.1470,0.1615,0.0045,0.8372,6.9525,0.1314,10.6647,18.9377,0.4581,0.0487,1.2194,5.8129,0.3831,6.3773,10.3548,4.3989,0.2014,6.3766,0.0725,0.0005,0.6467,7.4649,0.0724,0.0882,0.0012,0.6712,7.6238,0.0729,0.0851,0.0013,0.6495,7.8048,0.0640,0.7004,0.1324,1.4285,5.2308,0.6056,0.6816,0.1451,1.3946,5.4109,0.5463,0.6026,0.0604,1.3902,5.0727,0.6024,10.8856,18.0169,1.0294,0.2747,1.6870,4.2865,1.0016,2.7429,3.0115,2.6125,2.3295,2.7398,1.8214,1.2450,2.1444,3.3077,1.8162,0.6078,0.0618,1.3943,5.0836,0.6072,0.4467,0.0562,1.1862,6.0093,0.3383,2.3224,2.1653,2.4030,2.7458,2.3212,0.3815,0.0195,1.1813,5.6605,0.3806,Nc1cccc2,-1.14
10.0000,7.9075,2.0421,6.0064,1.5959,1.3100,1.5541,1.1641,1.6094,1.6094,1.0986,4.4886,4.6634,0.9002,1.2977,1.4600,1.6561,1.7133,1.7133,1.7133,0.2708,0.4485,0.5324,0.6429,0.6765,0.6765,0.6765,1.4446,1.1115,0.8734,0.3798,0.1432,0.1432,0.1432,2.4949,2.1676,2.1092,1.9675,1.8263,1.7100,1.4291,0.7701,0.0000,0.2215,0.0000,0.0000,0.1756,1.2947,1.6433,2.0408,2.3518,1.8642,1.6590,1.3742,1.1161,0.9030,0.6200,0.4631,0.0000,0.0797,0.0000,0.0000,0.0573,0.7324,0.8730,1.0445,2.2527,1.7841,1.5448,1.2582,1.0061,0.7966,0.5020,0.3570,0.0000,0.0488,0.0000,0.0000,0.0592,0.5755,0.6926,0.8255,2.8332,2.9444,3.2958,3.5835,3.8712,4.1744,4.2195,4.2905,4.4188,4.4067,4.0775,0.9936,1.2490,1.2326,1.2539,7.3123,6.1189,5.1317,-7.6708,-8.4979,-1.0781,-0.0103,110.1586,7.6708,3.1870,1.6431,0.8129,2.1960,4.2305,1.5657,0.1014,0.0011,0.8061,8.1613,0.0829,0.0942,0.0010,0.7779,8.2922,0.0729,10.0930,19.1112,0.2813,0.0117,1.1414,7.2056,0.2254,6.0509,9.3282,4.4222,0.5165,6.0491,0.0509,0.0002,0.6492,8.6087,0.0509,0.0499,0.0003,0.6154,9.0212,0.0397,0.0468,0.0003,0.5929,9.1689,0.0351,0.5979,0.0678,1.4820,6.2504,0.5000,0.5688,0.0672,1.4438,6.3978,0.4520,0.6075,0.0428,1.5382,5.8389,0.6072,10.9193,17.5012,1.0820,0.2317,1.8734,4.9687,1.0438,3.4425,4.0719,3.1348,2.3756,3.4389,1.8716,1.0697,2.3385,4.0119,1.8664,0.6303,0.0471,1.5576,5.8097,0.6298,0.2662,0.0120,1.1067,7.3646,0.1998,2.7113,2.5922,2.7719,3.0811,2.7105,0.2824,0.0067,1.1888,6.7970,0.2816,Nc1ccc2n,0.75
